Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
64 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,60W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,33.899 TL,16 GB,DDR4,Siyah,1 TB,2.3,"Abra A5 V21.4.4 Intel Core i7 12700H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.5,N/A,IPS,30.999 TL,16 GB,DDR5,Çok Renkli,1 TB,N/A,"Tuf Gaming A15 Amd R5-7535HS 16gb DDR5 Ram 1Tb Ssd RTX2050-144Hz 15.6"" Freedos + Cimete Çanta",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
16 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,47.999 TL,16 GB,DDR5,MAVİ,512 GB,N/A,"15-FA1054NT 8U844EA I7-13700H 16 GB 512 GB SSD 8 GB RTX4060 15.6"" Fhd Dos Dizüstü Bilgisayar",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,N/A
8 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,140W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,37.144 TL,8 GB,DDR4,Siyah,500 GB,2.6,"Abra A5 V20.2.7 Intel Core i5 13500H 8 GB RAM 500 GB SSD 6 GB RTX 4050 Windows 11 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,3 Saat ve Altı
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,46.099 TL,32 GB,DDR4,Koyu Gri,1 TB,N/A,"Victus 15-FA1057NT 8U849EA04 i7-13700H 32GB 1TBSSD RTX4050 15.6"" FullHD FreeDOS Taşınabilir Bilgi",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,140W,8 GB,Harici,240 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,N/A,IPS,84.299 TL,16 GB,DDR5,SİYAH,1 TB,3,"ROG STRIX G17 G713PI-LL081 AMD RYZEN 9-7845HX 16GB 1TB SSD 8GB RTX4070 17.3"" WQHD 240Hz DOS",2560 x 1440,WQXGA,7845HX,7. Nesil,AMD Ryzen 9,24,Free Dos,4-6 Saat
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,140W,8 GB,Harici,240 Hz,2 Yıl,Game Garaj Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,"68.654,25 TL",32 GB,DDR5,Siyah,1 TB,2.1,"Slayer4 7-4070 C2 Intel Core I7 14700hx 32gb 1tb Rtx4070 16"" Qhd 240hz Ips Freedos Bilgisayar",2560 x 1600,QHD,14700HX,14. Nesil,Intel Core i7,20,Free Dos,3 Saat ve Altı
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,AMD Radeon RX7600S,GDDR6,95W,8 GB,Dahili,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.5,N/A,IPS,43.949 TL,32 GB,DDR5,Off Black,2 TB,3.1,"TUF GAMING A16 FA617NSR-N3055-K3 AMD RYZEN 7-7435HS 32GB 2TB 8GB RX7600S 16.0"" WUXGA 165Hz DOS",1920 x 1200,WUXGA,7435HS,7. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü
32 GB,Ethernet,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,42.999 TL,16 GB,Belirtilmemiş,SİYAH,1 TB,N/A,Nitro 5 i7-12650H 16 GB 1 TB SSD RTX4060-8 GB 15.6'' 165Hz FreeDos NH.QM0EY.00B+165,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,N/A
4 GB,USB - Bluetooth - HDMI,Belirtilmemiş,Yok,16 inç,Nvidia GeForce RTX 4060,Belirtilmemiş,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,58.899 TL,64 GB,DDR5,Siyah,1 TB,N/A,Gaming G16 7630 G167630005uv8 I7-13650hx 64gb Rtx4060 8gb 16inç 165hz Qhd Ubuntu Gaming Laptop,2560 x 1600,QHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,N/A
