Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
64 GB,Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6X,N/A,8 GB,Harici,240 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,86.699 TL,64 GB,DDR5,Gri,2 TB,N/A,Excalibur G911.1490-EX70A-D i9-14900HX 64GB DDR5 RAM 2TB NVMe SSD 8GB RTX4070 W11 GAMING LAPTOP,2560 x 1600,QHD,14900HX,14. Nesil,Intel Core i9,24,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.9,N/A,IPS,,32 GB,DDR5,Koyu Gri,1 TB,1.1,"G15 5530 G155530013U06 i7-13650HX 32GB 1TBSSD RTX4060 15.6"" FHD FreeDOS Dizüstü Bilgisayar-CNT0",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Linux,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Dell Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.9,N/A,VA,,16 GB,DDR5,KOYU GRİ,512 GB,N/A,Gaming G15 5530 i7-13650HX 16GB 512GB SSD RTX3050/6GB 120HZ 15.6'' FHD UBUNTU G55302401005U,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,,96 GB,DDR5,Siyah,256 GB,3.8,"Katana A17 AI B8VE3 R7 8845HS 96GB 256GB SSD RTX4050/6GB 105W 17.3"" FHD 144HZ W11H & PER4 ÇANTA",1920 x 1080,Full HD (FHD),8845HS,8. Nesil,AMD Ryzen 7,16,Windows,N/A
4 GB,USB - Bluetooth - HDMI,Belirtilmemiş,Yok,"15,6 inç",Nvidia GeForce RTX 4060,Belirtilmemiş,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,Full HD,57.999 TL,64 GB,DDR5,Siyah,2 TB,N/A,Gaming G15 5530 G155530013uv7 I7-13650hx 64gb Rtx4060 8gb 140w 15.6 Fhd Ubuntu Gaming Laptop,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,8 GB,DDR5,Siyah,512 GB,N/A,"Thin A15 R5 7535HS B7UC 8GB 512GB SSD RTX3050/4GB 15.6"" FHD 144HZ FDOS & PER4 ÇANTA",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
16 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,66.999 TL,32 GB,DDR5,gri,512 GB,N/A,"LOQ 15IRH8 82XV00G9TXM1 i7-13620h 32GB 512 GB SSD RTX4060 15.6"" W11H FHD Dizüstü Bilgisayar",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Windows,N/A
32 GB,HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,240 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,5.0,N/A,IPS,93.999 TL,32 GB,LPDDR5X,Siyah,1 TB,N/A,"ROG Zephyrus G16 GA605 GA605WV-QR121 Ryzen AI 9 HX 370 32gb RAM 1tb SSD 8GB RTX4060 16"" WQXGA",2560 x 1600,2.5K,Belirtilmemiş,Belirtilmemiş,AMD Ryzen AI 9,12+,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,175W,12 GB,Harici,240 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q İngilizce,Oyun,+5,N/A,IPS,128.870 TL,32 GB,DDR5,Tutulma Siyahı,1 TB,4,Legion Pro 7 16ırx9h-i9-14900hx–16’’ Wqxga–16gb–1tb Ssd–rtx 4080–q Ing. Klavye- 1 Yıl Garanti,2560 x 1600,WQXGA,14900HX,14. Nesil,Intel Core i9,24,Windows,6 Saat ve Üstü
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.9,N/A,IPS,,16 GB,DDR5,Koyu Gri,1 TB,1.1,"G15 5530 G155530013U16 i7-13650HX 16GB 1TBSSD RTX4060 15.6"" FHD W11P Dizüstü Bilgisayar-CNT017",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,45W,4 GB ve altı,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.2,N/A,IPS,23.016 TL,24 GB,DDR4,Siyah,256 GB,3.3,"Ideapad Gaming 3 AMD Ryzen 5 5500H 24GB 256 GB SSD RTX2050 Freedos 15.6"" FHD 82K202BRTX-T24",1920 x 1080,Full HD (FHD),5500H,Belirtilmemiş,AMD Ryzen 5,4,Free Dos,N/A
N/A,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,Anti-Glare,,64 GB,DDR5,Gri,512 GB,N/A,"G15 5530 G155530005u14 I7-13650hx 64gb 512ssd Rtx3050 15.6"" Fullhd W11p Taşınabilir Bilgisayar-",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,,32 GB,DDR5,Siyah,1 TB,3.8,"Katana A17 AI B8VE3 R7 8845HS 32GB 1TB SSD RTX4050/6GB 105W 17.3"" FHD 144HZ W11H & PER4 ÇANTA",1920 x 1080,Full HD (FHD),8845HS,8. Nesil,AMD Ryzen 7,16,Windows,N/A
128 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4090,GDDR6,N/A,16 GB,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,169.999 TL,64 GB,DDR5,Siyah,2 TB,N/A,Raider 18 HX A14VIG-468TR i9-14900HX 64GB 2TB SSD 16GB RTX4090 17 UHD+ 120Hz Windows 11,3840 x 2400,Ultra HD 4K (UHD),14900HX,14. Nesil,Intel Core i9,24,Windows,N/A
N/A,Bluetooth - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX1650 Ti,GDDR6,N/A,4 GB ve altı,Harici,120 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,35.957 TL,8 GB,DDR4,SİYAH,512 GB,N/A,"Ideapad Gamıng 3 Intel Core I5 10300h 8gb 512gb Ssd Gtx 1650ti Freedos 15.6"" Fhd 81y400xstx",1920 x 1080,Full HD (FHD),10300H,10. Nesil,Intel Core i5,4,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,32 GB,DDR5,Gri,2 TB,N/A,"TUF Gaming A15 FA507UI-LP124A9 Ryzen9 8945H 32GB 1TBSSD+1TBSSD RTX4070 15.6"" FHD FreeDOS Dizüst",1920 x 1080,Full HD (FHD),Belirtilmemiş,8. Nesil,AMD Ryzen 9,8,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,,32 GB,DDR5,Siyah,512 GB,N/A,"Nitro 5 AN515-58 NH.QMZEY.005A9 i5-12450H 32GB 512SSD RTX2050 15.6"" FullHD W11H Taşınabilir Bil",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
32 GB,Bluetooth - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,34.999 TL,8 GB,DDR5,Luna Gri,512 GB,N/A,LOQ/ Ryzen 5 8645HS/ 8GB Ram/ 512GB SSD/ 15.6 Gaming Laptop 83DX008FTR,1920 x 1080,Full HD (FHD),8645HS,Belirtilmemiş,AMD Ryzen 5,6,Windows,N/A
N/A,USB,2 kg ve altı,Yok,16 inç,Nvidia GeForce RTX 4090,GDDR6,N/A,16 GB,Harici,240 Hz,2 Yıl,Resmi Distribütör Garantili,2 TB,N/A,Q Türkçe,Oyun,N/A,N/A,OLED,178.899 TL,32 GB,LPDDR5,Gri,2 TB,N/A,Rog Zephyrus G16 Core Ultra 9 185H-RTX4090 16Gb-32Gb-2Tb-16inc-W11,2560 x 1600,FHD+,185H,1. Nesil,Intel Core Ultra 9,16,Windows,N/A
32 GB,HDMI,2 - 4 kg,Yok,14 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,68.899 TL,16 GB,LPDDR5X,Siyah,1 TB,N/A,Tuf Gaming A14 Fa401wv-rg065 Amd Aı 9 Hx370 16gb 1 Tbssd Rtx4060-100watt 165 Hz,2560 x 1600,WQXGA,HX 370,Belirtilmemiş,AMD Ryzen AI 9,12+,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.2,N/A,IPS,26.999 TL,24 GB,DDR4,Siyah,1 TB,N/A,"Ideapad Gaming 3 AMD Ryzen5 5500H 24gb Ram 1Tb Ssd RTX2050 IPS 15.6"" Fdos & Çanta Hediye",1920 x 1080,Full HD (FHD),5500H,5. Nesil,AMD Ryzen 5,8,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,N/A,12 GB,Harici,240 Hz,3 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,129.999 TL,32 GB,DDR5,Siyah,1 TB,N/A,"Legion Pro 7 Intel Core i9-14900HX 32GB 1TB SSD 16"" WQXGA RTX4080 12GB DOS Gaming Laptop 83DE002WTR",2560 x 1600,WQXGA,14900HX,14. Nesil,Intel Core i9,24,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,5.0,N/A,IPS,40.489 TL,32 GB,DDR5,Koyu Gri,1 TB,N/A,"Victus 15-FB2016NT A05NKEA07 Uyumlu Ryzen5 32GB 1TBSSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar",1920 x 1080,Full HD (FHD),8645HS,8. Nesil,AMD Ryzen 5,6,Windows,N/A
N/A,Bluetooth - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,,64 GB,DDR4,Blue,512 GB,N/A,Victus 15 FA0010NT i5 12450H 64GB 512GB SSD RTX3050/4GB 144HZ 15.6” FHD FDOS 80D32EA,1920 x 1080,FHD+,12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,,32 GB,DDR5,Mavi,1 TB,2.1,VİCTUS 16 i7-14700HX 32GB RAM 1TB SSD RTX4060/8GB 144Hz 16.1 FHD FDOS 9J235EA & PER4 ÇANTA,1920 x 1080,Full HD (FHD),14700HX,14. Nesil,Intel Core i7,20,Free Dos,4-6 Saat
128 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4060,GDDR6,140W,8 GB,Harici,240 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,N/A,IPS,93.599 TL,64 GB,DDR5,Siyah,2 TB,2.1,"Semruk S7 V9.1.3 Intel Core i7 13700HX 64 GB RAM 2 TB SSD 8 GB RTX 4060 Windows 11 17"" QHD+ 240 Hz",2560 x 1600,QHD+,13700HX,13. Nesil,Intel Core i7,16,Windows,3 Saat ve Altı
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,64 GB,DDR5,Siyah,1 TB,N/A,"TUF Gaming A15 FA507UI-LP124A17 Ryzen9 8945H 64GB 1TBSSD RTX4070 15.6"" FHD W11P Dizüstü Bilgis",1920 x 1080,Full HD (FHD),Belirtilmemiş,8. Nesil,AMD Ryzen 9,8,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,DDR5,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,N/A,IPS,,96 GB,DDR5,Siyah,2 TB,1.9,VİCTUS 16 i7-13700H 96GB 2TB SSD RTX4060/8GB 144HZ 16.1'' FHD W11PRO 8B5Y3EA & PER4 ÇANTA,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,20,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,DDR5,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,4.5,N/A,IPS,"31.839,90 TL",8 GB,DDR5,SİYAH,512 GB,3.3,"TUF Gaming A15 FA506NF-HN004-31 Ryzen 5 7535HS 8GB 512GB SSD RTX2050 Win11P 15.6"" FHD",1920 x 1080,Full HD (FHD),7435HS,7. Nesil,AMD Ryzen 5,6,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,İthalatçı Garantili,HDD Yok,N/A,Q İngilizce,Oyun,+5,N/A,IPS,,32 GB,DDR5,Gri,1 TB,1.6,"Legion 5 83DG0000TT06 i7-14650HX 32GB 1TBSSD RTX4060 16"" QHD+ W11H Dizüstü Bilgisayar",2560 x 1600,QHD+,14650HX,14. Nesil,Intel Core i7,16,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,N/A,Paylaşımlı,Dahili,Belirtilmemiş,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Ofis - İş,5.0,N/A,IPS,24.599 TL,16 GB,DDR4,KOYU GRİ-SİYAH,256 GB,3.7,"V15 G4 Intel Core i7 1355U 16gb Ram 256gb Ssd Freedos 15.6"" Full HD Freedos Notebook",1920 x 1080,Full HD (FHD),1355U,13. Nesil,Intel Core i7,12+,Free Dos,N/A
32 GB,HDMI,2 kg ve altı,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.9,N/A,IPS,"75.903,94 TL",64 GB,DDR5,SİYAH,2 TB,2.6,"Rog Strix G16 I7-13650HX 64GB Ddr5 2 TB Ssd 8gb RTX4060 16"" 165Hz Dos G614JV-N3158 Zi710",1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,6,Free Dos,4-6 Saat
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.4,N/A,IPS,,64 GB,DDR5,Gri,2 TB,1.8,"LOQ 83GS007VTR15 i5-12450HX 64GB 1TBSSD+1TBSSD RTX3050 15.6"" FHD FreeDOS Dizüstü Bilgisayar-C",1920 x 1080,Full HD (FHD),Belirtilmemiş,12. Nesil,Intel Core i5,8,Linux,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,DDR5,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,N/A,IPS,,96 GB,DDR5,Siyah,4 TB,1.9,VİCTUS 16 i7-13700H 96GB 4TB SSD RTX4060/8GB 144HZ 16.1'' FHD FDOS 8B5Y3EA & PER4 ÇANTA,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,20,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR4,Gri,512 GB,N/A,"TUF Gaming F15 FX507ZC4-HN205A15 i5-12500H 16GB 512SSD RTX3050 15.6"" FullHD W11P Taşınabilir Bi",1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12+,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,N/A,16 GB,Harici,240 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,,64 GB,DDR5,Koyu Gri,4 TB,N/A,"ROG Strix G18 i9-14900HX 64GB 4TB SSD RTX4090/16GB 240Hz 18"" WQXGA W11P N6100 & PER4 ÇANTA",2560 x 1600,WQXGA,14900HX,14. Nesil,Intel Core i9,24,Windows,N/A
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,85W,4 GB ve altı,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.5,N/A,IPS,28.999 TL,16 GB,DDR5,Siyah,512 GB,3.3,Ideapad Gamıng 3 15arh7 Amd Ryzen 5 6660h 16gb Ddr5 4800mhz 512 Gb Pcıe Gen4 Nvme M.2 Ssd 4g,1920 x 1080,Full HD (FHD),6660U,12. Nesil,AMD Ryzen 5,6,Free Dos,4-6 Saat
32 GB,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR5,N/A,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,IPS,38.679 TL,64 GB,DDR5,GRİ,1 TB,3.1,"LOQ 83GS007VTR13 i5-12450HX 64GB 1TBSSD RTX3050 15.6"" FHD FreeDOS Dizüstü Bilgisayar-CNT014",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,32 GB,DDR4,Gri,1 TB,N/A,"TUF Gaming F15 FX507ZC4-HN205A7 i5-12500H 32GB 1TBSSD RTX3050 15.6"" FullHD FreeDOS Taşınabilir",1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12+,Free Dos,N/A
N/A,Bluetooth - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,42.999 TL,8 GB,DDR5,Luna Gri,512 GB,N/A,"Loq/amd Ryzen 5 8645hs/ 8gb Ram/ 512gb Ssd/ 15.6""/ Rtx 4050/ W11/ Laptop 83dx008gtr",1920 x 1080,Full HD (FHD),8645HS,Belirtilmemiş,AMD Ryzen 5,6,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,,32 GB,DDR5,Mavi,1 TB,1.5,VİCTUS 16 i7-14700HX 32GB RAM 1TB SSD RTX4050/6GB 144Hz 16.1 FHD FDOS 9J253EA & PER4 ÇANTA,1920 x 1080,Full HD (FHD),14700HX,14. Nesil,Intel Core i7,20,Free Dos,3 Saat ve Altı
N/A,Bluetooth - USB,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,TN,39.999 TL,16 GB,DDR4,Gri,512 GB,N/A,"THIN 15 B12UC-1478XTR i5 12450H 16GB 512GBSSD RTX3050 W11P 15.6"" 144Hz & B12UC1478XTRK39",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,N/A,IPS,,32 GB,DDR5,Mavi,1 TB,N/A,"Victus 16-S0067NT 7Z4N2EA04 Ryzen5 7640HS 32GB 1TBSSD RTX3050 16.1"" FHD FreeDOS Dizüstü Bilgisaya",1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,45W,4 GB ve altı,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.2,N/A,IPS,25.713 TL,32 GB,DDR4,Siyah,1 TB,3.3,"Ideapad Gaming 3 AMD Ryzen 5 5500H 32GB 1 TB SSD RTX2050 Freedos 15.6"" FHD 82K202BRTX-T38",1920 x 1080,Full HD (FHD),5500H,Belirtilmemiş,AMD Ryzen 5,4,Free Dos,N/A
N/A,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,Belirtilmemiş,N/A,Paylaşımlı,Dahili,Belirtilmemiş,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,27.999 TL,8 GB,Belirtilmemiş,Renkli,512 GB,N/A,Nitro V15 Anv15-41-R5Ql Uyumlu AMD Ryzen5-7535HS 8GB RAM 512Gb SSD 6GB Geforce Rtx3050 Ekran Kartı,1920 x 1080,Full HD (FHD),7535HS,Belirtilmemiş,AMD Ryzen 5,1,Windows,N/A
